CADENA;NOMBRE_PERFIL;ID;PAIS;TACTICA;FECHA_EJECUCION;CANTIDAD;PERFIL
NÁCAR;ALCATRAZ ATLÁNTICO ;1;1;1;03/02/2018;0;4
NÁCAR;ALCATRAZ ATLÁNTICO ;2;1;1;04/02/2018;0;4
NÁCAR;ALCATRAZ ATLÁNTICO ;3;1;1;05/02/2018;0;4
NÁCAR;ALCATRAZ ATLÁNTICO ;4;1;1;06/02/2018;0;4
NÁCAR;ALCATRAZ ATLÁNTICO ;5;1;1;13/02/2018;0;4
NÁCAR;ALCATRAZ ATLÁNTICO ;6;1;1;14/02/2018;0;4
NÁCAR;ALCATRAZ ATLÁNTICO ;7;1;1;18/02/2018;0;4
NÁCAR;ALCATRAZ ATLÁNTICO ;8;1;1;19/02/2018;0;4
NÁCAR;ALCATRAZ ATLÁNTICO ;9;1;1;20/02/2018;0;4
NÁCAR;ALCATRAZ ATLÁNTICO ;10;1;1;21/02/2018;0;4
NÁCAR;ALCATRAZ ATLÁNTICO ;11;1;1;22/02/2018;0;4
NÁCAR;ALCATRAZ ATLÁNTICO ;12;1;1;23/02/2018;0;4
NÁCAR;ALCATRAZ ATLÁNTICO ;13;1;1;24/02/2018;0;4
NÁCAR;ALCATRAZ ATLÁNTICO ;14;1;1;25/02/2018;0;4
OLIVA PÁLIDO;ALCATRAZ ATLÁNTICO ;15;1;2;06/02/2018;0;4
OLIVA PÁLIDO;ALCATRAZ ATLÁNTICO ;16;1;2;07/02/2018;0;4
OLIVA PÁLIDO;ALCATRAZ ATLÁNTICO ;17;1;2;08/02/2018;0;4
OLIVA PÁLIDO;ALCATRAZ ATLÁNTICO ;18;1;2;09/02/2018;0;4
OLIVA PÁLIDO;ALCATRAZ ATLÁNTICO ;19;1;2;10/02/2018;0;4
OLIVA PÁLIDO;ALCATRAZ ATLÁNTICO ;20;1;2;11/02/2018;0;4
OLIVA PÁLIDO;ALCATRAZ ATLÁNTICO ;21;1;2;12/02/2018;0;4
OLIVA PÁLIDO;ALCATRAZ ATLÁNTICO ;22;1;2;13/02/2018;0;4
OLIVA PÁLIDO;ALCATRAZ ATLÁNTICO ;23;1;2;14/02/2018;0;4
OLIVA PÁLIDO;ALCATRAZ ATLÁNTICO ;24;1;2;15/02/2018;0;4
OLIVA PÁLIDO;ALCATRAZ ATLÁNTICO ;25;1;2;16/02/2018;0;4
OLIVA PÁLIDO;ALCATRAZ ATLÁNTICO ;26;1;2;17/02/2018;0;4
OLIVA PÁLIDO;ALCATRAZ ATLÁNTICO ;27;1;2;18/02/2018;0;4
OLIVA PÁLIDO;ALCATRAZ ATLÁNTICO ;28;1;2;19/02/2018;0;4
OLIVA PÁLIDO;ALCATRAZ ATLÁNTICO ;29;1;2;20/02/2018;0;4
OLIVA PÁLIDO;ALCATRAZ ATLÁNTICO ;30;1;2;21/02/2018;0;4
OLIVA PÁLIDO;ALCATRAZ ATLÁNTICO ;31;1;2;22/02/2018;0;4
OLIVA PÁLIDO;ALCATRAZ ATLÁNTICO ;32;1;2;23/02/2018;0;4
OLIVA PÁLIDO;ALCATRAZ ATLÁNTICO ;33;1;2;24/02/2018;0;4
OLIVA PÁLIDO;ALCATRAZ ATLÁNTICO ;34;1;2;25/02/2018;0;4
OLIVA PÁLIDO;ALCATRAZ ATLÁNTICO ;35;1;2;26/02/2018;0;4
OLIVA PÁLIDO;ALCATRAZ ATLÁNTICO ;36;1;2;27/02/2018;0;4
OLIVA PÁLIDO;ALCATRAZ ATLÁNTICO ;37;1;2;28/02/2018;0;4
BLANCO PURO;ALCATRAZ ATLÁNTICO ;38;1;3;08/02/2018;0;4
BLANCO PURO;ALCATRAZ ATLÁNTICO ;39;1;3;09/02/2018;0;4
BLANCO PURO;ALCATRAZ ATLÁNTICO ;40;1;3;10/02/2018;0;4
BLANCO PURO;ALCATRAZ ATLÁNTICO ;41;1;3;11/02/2018;0;4
BLANCO PURO;ALCATRAZ ATLÁNTICO ;42;1;3;12/02/2018;0;4
BLANCO PURO;ALCATRAZ ATLÁNTICO ;43;1;3;13/02/2018;0;4
BLANCO PURO;ALCATRAZ ATLÁNTICO ;44;1;3;14/02/2018;0;4
BLANCO PURO;ALCATRAZ ATLÁNTICO ;45;1;3;15/02/2018;0;4
BLANCO PURO;ALCATRAZ ATLÁNTICO ;46;1;3;16/02/2018;0;4
BLANCO PURO;ALCATRAZ ATLÁNTICO ;47;1;3;17/02/2018;0;4
BLANCO PURO;ALCATRAZ ATLÁNTICO ;48;1;3;18/02/2018;0;4
BLANCO PURO;ALCATRAZ ATLÁNTICO ;49;1;3;19/02/2018;0;4
BLANCO PURO;ALCATRAZ ATLÁNTICO ;50;1;3;20/02/2018;0;4
BLANCO PURO;ALCATRAZ ATLÁNTICO ;51;1;3;21/02/2018;0;4
BLANCO PURO;ALCATRAZ ATLÁNTICO ;52;1;3;22/02/2018;0;4
BLANCO PURO;ALCATRAZ ATLÁNTICO ;53;1;3;23/02/2018;0;4
BLANCO PURO;ALCATRAZ ATLÁNTICO ;54;1;3;24/02/2018;0;4
BLANCO PURO;ALCATRAZ ATLÁNTICO ;55;1;3;25/02/2018;0;4
BLANCO PURO;ALCATRAZ ATLÁNTICO ;56;1;3;26/02/2018;0;4
BLANCO PURO;ALCATRAZ ATLÁNTICO ;57;1;3;27/02/2018;0;4
BLANCO PURO;ALCATRAZ ATLÁNTICO ;58;1;3;28/02/2018;0;4
CAL HELADA;ALCATRAZ ATLÁNTICO ;59;1;4;09/02/2018;0;4
CAL HELADA;ALCATRAZ ATLÁNTICO ;60;1;4;10/02/2018;0;4
CAL HELADA;ALCATRAZ ATLÁNTICO ;61;1;4;11/02/2018;0;4
CAL HELADA;ALCATRAZ ATLÁNTICO ;62;1;4;12/02/2018;0;4
CAL HELADA;ALCATRAZ ATLÁNTICO ;63;1;4;13/02/2018;0;4
CAL HELADA;ALCATRAZ ATLÁNTICO ;64;1;4;14/02/2018;0;4
CAL HELADA;ALCATRAZ ATLÁNTICO ;65;1;4;15/02/2018;0;4
CAL HELADA;ALCATRAZ ATLÁNTICO ;66;1;4;16/02/2018;0;4
CAL HELADA;ALCATRAZ ATLÁNTICO ;67;1;4;17/02/2018;0;4
CAL HELADA;ALCATRAZ ATLÁNTICO ;68;1;4;18/02/2018;0;4
CAL HELADA;ALCATRAZ ATLÁNTICO ;69;1;4;19/02/2018;0;4
CAL HELADA;ALCATRAZ ATLÁNTICO ;70;1;4;20/02/2018;0;4
CAL HELADA;ALCATRAZ ATLÁNTICO ;71;1;4;21/02/2018;0;4
CAL HELADA;ALCATRAZ ATLÁNTICO ;72;1;4;22/02/2018;0;4
CAL HELADA;ALCATRAZ ATLÁNTICO ;73;1;4;23/02/2018;0;4
CAL HELADA;ALCATRAZ ATLÁNTICO ;74;1;4;24/02/2018;0;4
CAL HELADA;ALCATRAZ ATLÁNTICO ;75;1;4;25/02/2018;0;4
CAL HELADA;ALCATRAZ ATLÁNTICO ;76;1;4;26/02/2018;0;4
CAL HELADA;ALCATRAZ ATLÁNTICO ;77;1;4;27/02/2018;0;4
CAL HELADA;ALCATRAZ ATLÁNTICO ;78;1;4;28/02/2018;0;4
BLANCO ORQUÍDEA;ALCATRAZ ATLÁNTICO ;79;1;5;13/02/2018;0;4
BLANCO ORQUÍDEA;ALCATRAZ ATLÁNTICO ;80;1;5;14/02/2018;0;4
BLANCO ORQUÍDEA;ALCATRAZ ATLÁNTICO ;81;1;5;15/02/2018;0;4
BLANCO ORQUÍDEA;ALCATRAZ ATLÁNTICO ;82;1;5;16/02/2018;0;4
BLANCO ORQUÍDEA;ALCATRAZ ATLÁNTICO ;83;1;5;17/02/2018;0;4
BLANCO ORQUÍDEA;ALCATRAZ ATLÁNTICO ;84;1;5;18/02/2018;0;4
BLANCO ORQUÍDEA;ALCATRAZ ATLÁNTICO ;85;1;5;19/02/2018;0;4
BLANCO ORQUÍDEA;ALCATRAZ ATLÁNTICO ;86;1;5;20/02/2018;0;4
BLANCO ORQUÍDEA;ALCATRAZ ATLÁNTICO ;87;1;5;21/02/2018;0;4
BLANCO ORQUÍDEA;ALCATRAZ ATLÁNTICO ;88;1;5;22/02/2018;0;4
