TÁCTICA;ID_TACTICA;HORAS_DEMANDA
NÁCAR;1;228.4
OLIVA PÁLIDO;2;6.6
BLANCO PURO;3;61.1
CAL HELADA;4;32.4
BLANCO ORQUÍDEA;5;229.0
HORIZONTE LEJANO;6;69.0
BLANCO PLANTACIÓN;7;113.3
VERANO CALIENTE;8;393.7
MARFIL COLMILLO;9;19.2
NATA LÍQUIDA;10;166.9
MERENGUE TOSTADO;11;69.2
ARENA LIGERA;12;160.8
BRONCEADO CARMELO;13;10.7
VELO DE BODA;14;32.7
BLANCO SUTIL;15;131.0
SOMBRA CALIENTE;16;353.9
CAJÓN DE ARENA;17;6.0
MELOCOTÓN HELADO;18;84.6
BLANCO PORCELANA;19;54.6
ADOBE LIGERO;20;75.1
LIGERAMENTE RUBORIZADO;21;25.0
RASTRO POLVORIENTO;22;1.9
PLUMA DE AVESTRUZ;23;61.8
BLANCO VELA;24;85.8
NIEBLA MATUTINA;25;18.6
BEIS ZAMBULLIDA;26;78.3
BLANCO ANTIGUO;27;34.4
BLANCO ANTIGUO 1;28;34.9
BLANCO ANTIGUO 2;29;1.8
BLANCO ANTIGUO 3;30;0.1
BLANCO ANTIGUO 4;31;1.2
AGUAMARINA 1;32;5.7
AGUAMARINA 2;33;1.6
AGUAMARINA 3;34;7.5
AGUAMARINA 4;35;3.2
BEIS;36;4.1
BISQUE 1;37;0.8
BISQUE 2;38;1.2
BISQUE 2;39;1.1
BISQUE 3;40;1.1
BISQUE 4;41;24.5
NEGRO;42;142.4
ALMENDRA PÁLIDO;43;195.5
MARRÓN;44;123.2
BURLYWOOD;45;106.0
BURLYWOOD 1;46;22.3
BURLYWOOD 2;47;72.2
BURLYWOOD 3;48;32.4
BURLYWOOD 4;49;42.3
CHARTREUSE 1;50;7.6
CHARTREUSE 2;51;3.8
CHARTREUSE 3;52;158.2
CHARTREUSE 4;53;36.7
CHOCOLATE;54;27.4
CHOCOLATE 1;55;27.2
CHOCOLATE 2;56;25.4
CHOCOLATE 3;57;6.9
CHOCOLATE 4;58;18.4
CORAL;59;5.7
CORAL 1;60;7.6
CORAL 2;61;30.3
CORAL 3;62;0.1
CORAL 4;63;0.3
SEDA DE GRANO 1;64;371.2
SEDA DE GRANO 2;65;355.4
SEDA DE GRANO 3;66;318.3
SEDA DE GRANO 4;67;221.1
CARMESÍ;68;47.4
CIAN;69;99.6
CAQUI OSCURO;70;82.1
MAGENTA OSCURO;71;74.2
VIOLETA OSCURO;72;0.2
LADRILLO REFRACTARIO;73;9.9
LADRILLO REFRACTARIO 1;74;241.0
LADRILLO REFRACTARIO 2;75;228.9
LADRILLO REFRACTARIO 3;76;196.7
LADRILLO REFRACTARIO X4;77;129.1
BLANCO FLORAL;78;31.5
GAINSBORO;79;86.8
BLANCO FANTASMA;80;42.0
ORO 1;81;65.5
ORO 2;82;0.4
ORO 3;83;155.8
ORO 4;84;27.8
AMBROSÍA 1;85;12.9
AMBROSÍA 2;86;3.1
AMBROSÍA 3;87;10.0
AMBROSÍA 4;88;189.2
AÑIL;89;173.8
AÑIL 2;90;1.2
MARFIL 1;91;0.9
MARFIL 2;92;0.6
MARFIL 3;93;1.4
MARFIL 4;94;9.6
CAQUI;95;9.4
CAQUI 1;96;7.1
CAQUI 2;97;3.8
CAQUI 3;98;4.6
CAQUI 4;99;3.3
LAVANDA;100;2.7
LAVANDA RUBOR 1;101;1.5
LAVANDA RUBOR 2;102;0.9
LAVANDA RUBOR 3;103;1.6
LAVANDA RUBOR 4;104;182.7
CHIFFON LIMÓN 1;105;235.9
CHIFFON LIMÓN 2;106;99.2
CHIFFON LIMÓN 3;107;136.4
CHIFFON LIMÓN 4;108;2.7
CORAL CLARO;109;18.4
AMARILLO CLARO;110;31.8
AMARILLO CLARO 2;111;143.9
AMARILLO CLARO 3;112;150.6
AMARILLO CLARO 4;113;2.3
LINO;114;174.6
MAGENTA 1;115;200.2
MAGENTA 2;116;65.1
MAGENTA 3;117;97.1
MAGENTA 4;118;0.2
CASTAÑO;119;9.6
CASTAÑO 1;120;25.7
CASTAÑO 2;121;144.6
CASTAÑO 3;122;6.5
CASTAÑO 4;123;132.5
AGUAMARINA MEDIO;124;67.4
PÚRPURA MEDIO;125;5.6
PÚRPURA MEDIO 1;126;35.6
PÚRPURA MEDIO 2;127;0.5
PÚRPURA MEDIO 3;128;143.7
PÚRPURA MEDIO 4;129;0.6
CREMA DE MENTA;130;3.3
MOCASÍN;131;10.4
BLANCO NAVAJO 1;132;0.3
BLANCO NAVAJO 2;133;5.6
BLANCO NAVAJO 3;134;89.8
BLANCO NAVAJO 4;135;40.5
CORDÓN VIEJO;136;14.5
ORQUÍDEA;137;68.3
FUSTA DE PAPAYA;138;36.1
HOJALDRE DE MELOCOTÓN 1;139;34.5
HOJALDRE DE MELOCOTÓN 2;140;126.5
HOJALDRE DE MELOCOTÓN 3;141;147.1
HOJALDRE DE MELOCOTÓN 4;142;102.5
PERÚ;143;10.2
CIRUELA;144;55.1
CIRUELA 1;145;14.4
CIRUELA 2;146;8.4
CIRUELA 3;147;12.5
CIRUELA 4;148;72.1
PÚRPURA;149;23.7
PÚRPURA 1;150;6.4
PÚRPURA 2;151;5.6
PÚRPURA 3;152;20.0
PÚRPURA 4;153;0.7
SALMÓN;154;21.8
CONCHA MARINA 1;155;177.4
CONCHA MARINA 2;156;48.8
CONCHA MARINA 3;157;2.8
CONCHA MARINA 4;158;9.8
REMOLACHA SGI;159;17.0
CHARTREUSE SGI;160;52.5
CERCETA SGI;161;2.6
SIENA;162;12.2
SIENA 1;163;2.9
SIENA 2;164;4.0
SIENA 3;165;46.3
SIENA 4;166;38.1
GRIS;167;27.8
NIEVE 1;168;8.8
NIEVE 2;169;6.4
NIEVE 3;170;21.8
NIEVE 4;171;6.4
BRONCEADO;172;10.0
BRONCEADO 1;173;2.6
BRONCEADO 2;174;37.3
BRONCEADO 3;175;77.3
BRONCEADO 4;176;54.9
CARDO;177;38.7
CARDO 1;178;34.4
CARDO 2;179;11.7
CARDO 3;180;24.0
CARDO 4;181;5.0
TOMATE 1;182;8.0
TOMATE 2;183;58.5
TOMATE 3;184;22.6
TOMATE 4;185;6.7
TURQUESA;186;1.0
VIOLETA;187;17.2
TRIGO;188;3.0
TRIGO 1;189;26.9
TRIGO 2;190;13.6
TRIGO 3;191;12.2
TRIGO 4;192;21.4
BLANCO;193;33.7
HUMO BLANCO;194;5.3
AMARILLO 1;195;16.2
AMARILLO 2;196;24.6
AMARILLO 3;197;32.2
AMARILLO 4;198;15.9
AZUL;199;10.9
VERDE;200;27.6
ROSA;201;30.3
ROJO;202;16.6
BLANCO;203;11.9
VARA DE ORO;204;49.8
TURQUESA;205;23.2
NARANJA;206;9.5
